"pvalue","count"
"0.01247",2
"0.01248",1
"0.01249",1
"0.01251",1
"0.01253",1
"0.01261",2
"0.01265",1
"0.01267",2
"0.01268",2
"0.01272",1
"0.01274",1
"0.01277",2
"0.01279",1
"0.01281",1
"0.01289",1
"0.01291",2
"0.01292",2
"0.01294",1
"0.01303",1
"0.01304",1
"0.01307",2
"0.01313",1
"0.01328",1
"0.01331",2
"0.01336",1
"0.01337",1
"0.01342",1
"0.01344",1
"0.01352",1
"0.01356",2
"0.01362",1
"0.01367",4
"0.01375",1
"0.01376",1
"0.01379",1
"0.0138",1
"0.01381",1
"0.01383",1
"0.01384",1
"0.01389",1
"0.01391",1
"0.01397",1
"0.01405",1
"0.01409",1
"0.01415",1
"0.01419",1
"0.01421",1
"0.01423",1
"0.01424",1
"0.01429",1
"0.01433",1
"0.01434",1
"0.01437",3
"0.01438",1
"0.01452",2
"0.01454",1
"0.01456",1
"0.01458",1
"0.01461",2
"0.01464",1
"0.01466",1
"0.01467",1
"0.01468",1
"0.01469",1
"0.0147",1
"0.01472",1
"0.0148",1
"0.01484",1
"0.0149",1
"0.01492",1
"0.01499",1
"0.01502",1
"0.01503",1
"0.01504",2
"0.01507",1
"0.01511",1
"0.01515",1
"0.01521",1
"0.01527",2
"0.01528",1
"0.0153",1
"0.01533",1
"0.01536",1
"0.01543",1
"0.01544",1
"0.01545",1
"0.01558",1
"0.0156",1
"0.01561",1
"0.01563",1
"0.01564",1
"0.01566",1
"0.01568",1
"0.01569",1
"0.01574",3
"0.01578",1
"0.01579",1
"0.0158",1
"0.01583",1
"0.01585",1
"0.01593",1
"0.01596",2
"0.01604",1
"0.01606",3
"0.01607",1
"0.01609",1
"0.0161",2
"0.01612",2
"0.01613",1
"0.01623",1
"0.01626",1
"0.01632",1
"0.01639",1
"0.0164",1
"0.01645",1
"0.01648",1
"0.01652",1
"0.01657",1
"0.01658",1
"0.01664",1
"0.01666",1
"0.01667",1
"0.01669",1
"0.01672",1
"0.01676",1
"0.01682",1
"0.01683",2
"0.01687",2
"0.01693",1
"0.01694",1
"0.01695",1
"0.01698",1
"0.01699",2
"0.017",1
"0.01701",1
"0.01704",1
"0.01716",2
"0.01718",1
"0.01719",1
"0.01721",1
"0.01724",1
"0.01725",1
"0.01726",1
"0.01749",1
"0.01751",1
"0.01754",1
"0.01756",1
"0.01764",1
"0.01768",1
"0.01772",1
"0.01777",2
"0.01782",1
"0.01783",1
"0.01792",1
"0.01793",1
"0.01795",1
"0.01798",1
"0.01799",1
"0.018",1
"0.01802",1
"0.0182",1
"0.01823",1
"0.01825",1
"0.01826",1
"0.01835",1
"0.01842",1
"0.01844",1
"0.01845",1
"0.01846",1
"0.0185",1
"0.01852",1
"0.01857",1
"0.01865",1
"0.01867",1
"0.01873",1
"0.01874",1
"0.01891",1
"0.01893",1
"0.01902",1
"0.01904",1
"0.01908",2
"0.01917",1
"0.01918",1
"0.01926",1
"0.01927",1
"0.0193",1
"0.01932",1
"0.01935",1
"0.01941",1
"0.01946",1
"0.0196",1
"0.01971",1
"0.01972",1
"0.01973",1
"0.01979",1
"0.0198",1
"0.01982",1
"0.01997",1
"0.02005",1
"0.02008",1
"0.02013",1
"0.02014",1
"0.02016",1
"0.02021",1
"0.02022",1
"0.02025",1
"0.02026",1
"0.02031",1
"0.02032",1
"0.02036",1
"0.02039",1
"0.02042",1
"0.02048",2
"0.02057",1
"0.0206",1
"0.02062",1
"0.02065",1
"0.02068",1
"0.0207",1
"0.02074",1
"0.02076",1
"0.02086",1
"0.02087",1
"0.021",1
"0.02104",2
"0.02111",1
"0.02121",1
"0.02128",1
"0.0213",1
"0.02132",1
"0.02142",1
"0.02143",2
"0.02144",1
"0.02145",1
"0.02146",1
"0.0215",1
"0.02156",1
"0.02157",1
"0.02162",2
"0.02169",1
"0.02173",1
"0.02174",1
"0.02175",1
"0.02184",1
"0.02187",1
"0.02188",1
"0.02212",1
"0.02216",1
"0.02217",1
"0.02224",1
"0.02226",1
"0.0223",1
"0.02233",1
"0.02241",1
"0.02243",2
"0.02244",1
"0.02248",1
"0.02256",1
"0.02257",2
"0.0226",1
"0.02261",1
"0.02263",2
"0.02274",1
"0.02279",1
"0.0228",1
"0.02288",1
"0.0229",1
"0.02296",1
"0.02298",1
"0.02301",1
"0.02302",1
"0.02317",2
"0.02321",2
"0.02325",1
"0.02328",1
"0.02329",1
"0.0233",3
"0.02339",1
"0.02353",1
"0.02356",1
"0.02357",1
"0.02368",1
"0.02374",1
"0.02375",2
"0.0239",1
"0.02391",1
"0.02392",2
"0.02401",1
"0.02403",1
"0.02407",1
"0.02414",3
"0.02421",1
"0.02424",1
"0.02427",1
"0.02428",1
"0.02431",2
"0.02438",1
"0.02445",1
"0.02449",1
"0.0245",1
"0.02455",1
"0.02462",1
"0.02468",1
"0.02475",1
"0.02476",1
"0.02481",1
"0.02488",1
"0.02489",1
"0.025",1
"0.02512",1
"0.0252",1
"0.02521",1
"0.02527",1
"0.02544",1
"0.0255",1
"0.02563",2
"0.02579",1
"0.02588",1
"0.02598",1
"0.02603",1
"0.02619",2
"0.02624",2
"0.02642",1
"0.02653",1
"0.02661",1
"0.02668",1
"0.02672",1
"0.02681",1
"0.02687",1
"0.02691",2
"0.02692",1
"0.02702",1
"0.02703",1
"0.02713",2
"0.02715",1
"0.02717",1
"0.02718",1
"0.02733",1
"0.0274",1
"0.02746",1
"0.02748",1
"0.02761",1
"0.02767",1
"0.02781",1
"0.02784",2
"0.02786",1
"0.02794",1
"0.02797",1
"0.02801",1
"0.02816",1
"0.02817",2
"0.02823",1
"0.02833",1
"0.02842",1
"0.02845",1
"0.02856",1
"0.02859",1
"0.0286",1
"0.02862",1
"0.02863",1
"0.02866",1
"0.02886",1
"0.02896",2
"0.02912",1
"0.02919",1
"0.02922",1
"0.02928",1
"0.02932",2
"0.02944",2
"0.02955",1
"0.02965",1
"0.02966",1
"0.0297",1
"0.02995",1
"0.03",1
"0.03007",1
"0.03076",1
"0.0308",1
"0.03081",1
"0.03091",1
"0.03109",1
"0.03111",1
"0.03113",1
"0.03119",1
"0.0312",2
"0.03129",1
"0.03132",1
"0.03135",1
"0.03141",1
"0.03158",1
"0.03171",2
"0.03185",1
"0.03189",1
"0.032",1
"0.03204",1
"0.03205",1
