geneType	KR_zinb_Was	KR_zinb_JSD	KR_kde_Was	KR_kde_JSD	PS_zinb_Was	PS_zinb_JSD	PS_kde_Was	PS_kde_JSD	deseq2_pval	mast_pval_glm	mast_pval_glmer
EE	0.106	0.102	0.372	0.299	0.18	0.147	0.51	0.476	0.572748562838003	6.83917208650417e-06	0.173551314779048
EE	0.193	0.114	0.161	0.107	0.217	0.165	0.189	0.027	0.196449341142027	3.76188251988875e-05	1
EE	0.107	0.194	0.139	0.061	0.06	0.083	0.076	0.067	0.032281250353771	9.27454698417681e-15	0.0577416157453149
EE	0.504	0.288	0.598	0.722	0.623	0.466	0.667	0.733	0.457187343058249	0.0559598177804494	0.834086120809188
EE	0.561	0.637	0.679	0.55	0.299	0.465	0.415	0.249	0.447388989879012	6.77333914390946e-07	0.0284371160314674
EE	0.642	0.871	0.644	0.647	0.811	0.87	0.83	0.518	0.777283409062373	0.826389024643226	0.964757363937489
EE	0.973	0.751	0.994	0.977	0.691	0.522	0.885	0.921	0.983352303047926	0.217149637244725	0.24545925938327
EE	0.643	0.771	0.802	0.95	0.763	0.923	0.947	0.931	0.955582362507933	0.174403380884413	0.288665054526194
EE	0.815	0.62	0.842	0.423	0.384	0.395	0.398	0.426	0.449795483344696	0.000262431822781546	0.113755314071647
EE	0.11	0.103	0.165	0.115	0.373	0.374	0.468	0.472	0.422165527191682	3.00150524744724e-23	0.367934254900843
EE	0.81	0.898	0.672	0.389	0.911	0.865	0.872	0.706	0.858446916331719	0.00166569742694906	0.106617377289191
EE	0.287	0.178	0.167	0.231	0.448	0.314	0.326	0.421	0.413735193975674	1.69557725183835e-07	0.0735450287268901
EE	0.363	0.343	0.726	0.806	0.304	0.38	0.43	0.751	0.627621489113037	0.208809609820004	0.611382461761253
EE	0.917	0.998	0.816	0.586	0.93	0.839	0.958	0.477	0.835155473109778	0.258962903593888	0.393927586615627
EE	0.163	0.211	0.118	0.515	0.396	0.492	0.319	0.296	0.253892334051637	4.37859902771048e-06	0.0151575707616105
EE	0.827	0.653	0.71	0.537	0.784	0.895	0.466	0.24	0.759052569693333	0.45997359799354	0.537984925472138
EE	0.326	0.157	0.271	0.239	0.212	0.132	0.144	0.09	0.0260996678385425	1.48904473266798e-24	0.0228968533441432
EE	0.215	0.214	0.221	0.139	0.737	0.587	0.795	0.529	0.562775882945405	0.0160359609063392	0.258609064932688
EE	0.817	0.679	0.917	0.965	0.331	0.305	0.41	0.924	0.152511813461676	1.51978563759601e-08	0.216319590993317
EE	0.651	0.4	0.817	0.826	0.222	0.182	0.454	0.833	0.53118832124278	0.0485958846368553	0.378629955958887
meanDE	0.473	0.594	0.373	0.37	0.589	0.717	0.136	0.163	0.161144763761925	1.239700109841e-05	0.0107813498108653
EE	0.838	0.834	0.734	0.795	0.432	0.379	0.368	0.533	0.281802359154792	0.0258740013851958	0.149162928377371
EE	0.608	0.406	0.458	0.369	0.566	0.428	0.451	0.81	0.425516917217759	1.09277617476437e-27	0.334877625913339
EE	0.957	0.683	0.554	0.183	0.879	0.744	0.865	0.495	0.846710907292842	0.213665183719703	0.585714054742946
EE	0.683	0.583	0.506	0.638	0.851	0.764	0.538	0.627	0.475780693549668	0.0185207207820602	0.902611690165738
EE	0.325	0.381	0.2	0.388	0.445	0.669	0.237	0.52	0.417652547212518	0.0165093230094021	0.491471803895292
meanDE	0.701	0.516	0.389	0.578	0.361	0.3	0.273	0.762	0.0881540597071097	1.69998352875309e-07	0.00275045496998662
EE	0.736	0.582	0.78	0.696	0.668	0.607	0.639	0.419	0.767747208541113	0.0078339756239094	0.320132341325524
EE	0.87	0.67	0.852	0.805	0.437	0.359	0.396	0.351	0.473263246795709	2.30158117657648e-07	0.261851728580804
EE	0.523	0.349	0.17	0.088	0.316	0.226	0.187	0.09	0.106963196500481	3.78236749599021e-08	0.0641061243631022
EE	0.078	0.059	0.08	0.089	0.02	0.011	0.027	0.035	0.00722402222071078	4.21512482810317e-18	0.0104141175299728
EE	0.207	0.112	0.189	0.926	0.214	0.145	0.237	0.733	0.104411589266154	0.000642046541802706	0.653848339865664
meanDE	0.936	0.777	0.766	0.763	0.488	0.411	0.35	0.393	0.513922038509864	3.22731754749994e-07	0.480988475034444
EE	0.903	0.81	0.894	0.898	0.944	0.774	0.885	0.837	0.942663909008638	0.210980178599071	1
meanDE	0.604	0.689	0.705	0.396	0.205	0.257	0.205	0.344	0.290070503904169	4.61045361155589e-07	0.551888952194695
EE	0.784	0.739	0.925	0.742	0.625	0.532	0.539	0.323	0.302637212912983	0.00286229435792787	0.220438875002868
EE	0.97	0.992	0.97	0.949	0.799	0.667	0.98	0.972	0.845703768900345	0.325660874505166	0.835343696200154
EE	0.253	0.306	0.25	0.498	0.157	0.146	0.135	0.354	0.0560530974759701	2.36586140831798e-29	0.0122068601386808
varDE	0.126	0.06	0.166	0.041	0.15	0.034	0.205	0.027	0.0399131464645638	1.37716913484421e-12	0.0720778278271393
EE	0.611	0.57	0.581	0.782	0.895	0.603	0.748	0.876	0.267249217610961	5.3928026012034e-05	0.394278273482289
EE	0.46	0.344	0.618	0.443	0.742	0.661	0.922	0.669	0.849748844584737	0.0218796651940897	0.0115955740806743
EE	0.616	0.582	0.606	0.627	0.9	0.702	0.973	0.883	0.931256932403637	0.282617328911762	0.574296532988281
varDE	0.415	0.214	0.473	0.604	0.446	0.198	0.405	0.527	0.607314428599306	0.195415004817957	0.194305754743969
varDE	0.527	0.54	0.597	0.45	0.268	0.456	0.314	0.247	0.168034607517934	5.1365270280522e-16	0.0704719031392513
EE	0.304	0.265	0.681	0.829	0.217	0.259	0.975	0.806	0.745190016206201	0.0998036558804311	0.319731453196233
EE	0.225	0.216	0.212	0.117	0.348	0.357	0.369	0.421	0.148400219371579	2.7931148656945e-10	0.411024281574915
meanDE	0.015	0.039	0.027	0.045	0.038	0.008	0.058	0.051	0.0556636791606085	9.05545344799028e-24	0.0347136131225126
EE	0.736	0.673	0.55	0.423	0.626	0.616	0.561	0.376	0.388386264923522	0.19549600667098	0.718409612047023
EE	0.419	0.498	0.465	0.503	0.646	0.758	0.728	0.755	0.668558043477734	1.60111601846179e-14	0.553556523655858
varDE	0.242	0.305	0.112	0.626	0.404	0.503	0.43	0.752	0.398483234688917	0.00923662929203225	0.379509734452014
EE	0.806	0.671	0.879	0.872	0.311	0.285	0.3	0.356	0.212583737173265	6.21776941683332e-12	0.110269083430776
EE	0.785	0.864	0.624	0.485	0.605	0.513	0.873	0.498	0.814483174723412	0.0180321783828873	0.216450739300535
EE	0.013	0.008	0.003	0.297	0.033	0.008	0.017	0.407	0.00854209934534602	1.17461776255324e-10	0.0147233964795161
EE	0.409	0.264	0.456	0.191	0.376	0.309	0.336	0.142	0.153922747345631	4.55936119713548e-07	0.324750411843817
EE	0.136	0.07	0.205	0.107	0.319	0.164	0.369	0.029	0.203442296249197	0.00101735794306631	0.8638276932261
EE	0.652	0.518	0.69	0.674	0.669	0.551	0.679	0.743	0.871413733568856	0.017587760317625	0.500566540658789
varDE	0.37	0.289	0.222	0.521	0.86	0.704	0.811	0.842	0.44467263512902	1.06743694240536e-09	0.470806227252727
EE	0.535	0.569	0.679	0.923	0.264	0.27	0.283	0.765	0.276622398983483	0.0074185372859373	0.0756983007559742
EE	0.568	0.674	0.718	0.935	0.994	0.947	0.978	0.845	0.553792854342599	0.45407349922745	0.608484341625476
meanDE	0.04	0.106	0.113	0.018	0.104	0.163	0.303	0.008	0.331979852234989	0.0375148598806999	0.246891605582299
EE	0.128	0.171	0.151	0.377	0.24	0.26	0.248	0.788	0.477606679857396	4.4752468020792e-10	0.235656631003446
EE	0.949	0.992	0.995	0.97	0.761	0.822	0.767	0.873	0.549440408792452	2.39859439320572e-10	0.645599969025909
meanDE	0.064	0.082	0.044	0.176	0.271	0.254	0.133	0.179	0.106250430478105	5.51450366377074e-11	0.027715398165164
EE	0.706	0.446	0.445	0.47	0.944	0.851	0.834	0.822	0.84456992215553	5.39416543304126e-18	0.863441884065158
EE	0.997	0.882	0.85	0.469	0.834	0.904	0.828	0.257	0.859452742247626	6.57696874290602e-13	0.719721319115195
EE	0.731	0.794	0.87	0.3	0.532	0.596	0.668	0.168	0.480167482635799	0.0517463128381705	0.823461303461559
varDE	0.366	0.129	0.462	0.025	0.435	0.094	0.376	0.074	0.613375526967138	0.00796254137947808	0.908890182850889
EE	0.67	0.781	0.848	0.931	0.891	0.842	0.933	0.924	0.986251376934132	0.00221644736924646	0.856936400651801
EE	0.309	0.266	0.382	0.532	0.288	0.219	0.373	0.483	0.306896946782018	6.75858039069891e-08	0.045233183695609
EE	0.22	0.259	0.512	0.563	0.191	0.214	0.354	0.456	0.988261315249894	0.639512334692053	0.700427402831707
EE	0.794	0.817	0.917	0.785	0.881	0.863	0.914	0.548	0.654281713881497	0.0149919820896583	0.537466625815578
varDE	0.23	0.272	0.454	0.381	0.195	0.203	0.461	0.392	0.420760253742506	1.30467015983387e-09	0.00570342911217286
EE	0.85	0.851	0.974	0.983	0.641	0.648	0.936	0.886	0.638141187815564	0.872000769288057	0.89747617419346
EE	0.406	0.518	0.633	0.598	0.622	0.677	0.971	0.572	0.865858123908438	0.0166405401382348	0.0416888722162351
EE	0.976	0.988	0.829	0.777	1	0.991	0.731	0.659	0.753551600106535	0.268617195779668	0.887844319516218
EE	0.396	0.429	0.437	0.062	0.418	0.497	0.456	0.319	0.485802873437197	0.0556586603035343	0.314649009801629
EE	0.78	0.831	0.803	0.536	0.922	0.847	0.658	0.531	0.777425595636064	0.028192438097475	0.1035596990168
EE	0.027	0.053	0.048	0.397	0.181	0.21	0.276	0.513	0.331432361928384	3.71388672800435e-37	0.163081872667218
EE	0.993	0.975	0.917	0.919	1	0.841	0.785	0.834	0.90358451337221	0.44908913508322	0.795219614907966
EE	0.056	0.086	0.07	0.233	0.019	0.028	0.028	0.156	0.0025585334568917	8.53816946328037e-17	0.000326972522735232
EE	0.72	0.623	0.655	0.613	0.799	0.762	0.774	0.807	0.642224172943677	0.124709501855601	0.897874724237846
varDE	0.32	0.345	0.262	0.013	0.126	0.169	0.115	0.008	0.224545784079749	1.6723779444112e-08	0.047249920558668
EE	0.835	0.87	0.913	0.87	0.968	0.844	0.979	0.879	0.804115215815342	0.117987516761785	0.623009910391265
EE	0.548	0.488	0.861	0.521	0.496	0.434	0.704	0.252	0.405167750094863	0.000930366662951232	0.0549089648628485
meanDE	0.06	0.013	0.048	0.648	0.081	0.008	0.054	0.427	0.00193410401885254	1.39203297356635e-13	0.0131054456523337
EE	0.659	0.838	0.732	0.94	0.627	0.779	0.428	0.746	0.415924356965458	0.087642387111745	0.311549442880772
EE	0.911	0.877	0.991	0.914	0.844	0.873	0.966	0.913	0.739316643123058	0.699178925337024	0.924182967835571
EE	0.802	0.924	0.748	0.465	0.318	0.501	0.553	0.349	0.783813241637027	0.0935643588831563	0.149718126308057
meanDE	0.231	0.191	0.126	0.415	0.318	0.263	0.188	0.665	0.0810718386665247	1.13837086265381e-19	0.107792831975724
meanDE	0.389	0.456	0.312	0.4	0.333	0.355	0.278	0.322	0.135149942999458	5.71098882598637e-42	0.06422316404681
varDE	0.394	0.443	0.497	0.542	0.316	0.259	0.29	0.618	0.115927229401022	3.48068494389475e-11	0.00592307132957948
EE	0.693	0.74	0.77	0.751	0.445	0.698	0.398	0.741	0.613096349610508	0.40289958358193	0.899182265149241
varDE	0.667	0.46	0.842	0.913	0.599	0.435	0.693	0.878	0.707810935603652	1.24110102152586e-05	0.00510588163543235
EE	0.653	0.305	0.687	0.198	0.597	0.256	0.647	0.369	0.291440205122043	0.000341734591715174	0.437287046581103
EE	0.828	0.793	0.852	0.871	0.537	0.537	0.641	0.693	0.769587222552846	0.0130445425766066	0.180174591606301
EE	0.807	0.718	0.896	0.66	0.876	0.945	0.845	0.892	0.781237571658903	0.604939182472079	0.948990652344079
meanDE	0.634	0.447	0.876	0.776	0.672	0.361	0.608	0.426	0.988974575191048	0.00541346988283326	0.0735446855692344
meanDE	0.246	0.257	0.328	0.495	0.163	0.209	0.218	0.812	0.204593068531174	0.000881389322002384	0.695658676770279
varDE	0.489	0.175	0.211	0.196	0.474	0.249	0.301	0.203	0.9125771627419	0.000124763610852985	0.397384477540782
EE	0.013	0.043	0.116	0.129	0.008	0.008	0.027	0.036	0.0473500203108295	4.28079879890536e-08	0.00418626192778901
EE	0.742	0.643	0.871	0.642	0.99	0.99	0.984	0.981	0.98359647872962	0.123417172837704	0.519335568851046
EE	0.861	0.642	0.967	0.994	0.799	0.592	0.863	0.888	0.790410414632298	0.138548098422791	0.576758640367441
EE	0.84	0.541	0.537	0.398	0.679	0.503	0.516	0.234	0.594200254034496	0.000168691575799133	0.000460403009573154
EE	0.649	0.67	0.648	0.693	0.27	0.313	0.245	0.228	0.579885150636872	4.28475939561094e-05	0.0667358463593878
EE	0.361	0.395	0.203	0.222	0.629	0.738	0.345	0.458	0.228583172921469	0.000133113023238513	0.306182219926684
EE	0.34	0.31	0.388	0.544	0.659	0.675	0.491	0.568	0.363290965557243	1.12600306767739e-05	0.0821472839160134
EE	0.164	0.103	0.168	0.348	0.295	0.236	0.103	0.885	0.044886674260908	0.000298292544725185	0.893666029474337
EE	0.687	0.675	0.746	0.708	0.896	0.959	1	0.856	0.727772552822679	0.378792950892583	0.896198272817568
EE	0.75	0.895	0.636	0.808	0.906	0.794	0.926	0.792	0.945372784438319	0.125301108825009	0.578204963757911
EE	0.781	0.594	0.941	0.65	0.538	0.437	0.827	0.591	0.973697770707789	0.0189631493443186	0.185975964962282
EE	0.849	0.922	0.91	0.723	0.818	0.795	0.947	0.725	0.654172333229861	0.0339009626760944	0.571499313870341
