geneType	KR_zinb_Was	KR_zinb_JSD	KR_kde_Was	KR_kde_JSD	PS_zinb_Was	PS_zinb_JSD	PS_kde_Was	PS_kde_JSD	deseq2_pval	mast_pval_glm	mast_pval_glmer
varDE	0.719	0.511	0.496	0.37	0.487	0.395	0.334	0.541	0.63990357480902	0.00560955322366978	0.13311833242399
EE	0.55	0.47	0.719	0.467	0.252	0.286	0.562	0.372	0.254245535307662	0.253341125397041	0.427546236542913
varDE	0.441	0.304	0.524	0.457	0.482	0.32	0.493	0.693	0.718167377205136	0.017488065956708	0.0272069599670094
EE	0.895	0.856	0.893	0.7	0.858	0.974	0.906	0.513	0.944862784124325	0.177984994985601	0.523841624009483
EE	0.117	0.072	0.28	0.327	0.09	0.03	0.224	0.138	0.985942485491205	0.00167748081654691	0.0361952105710382
EE	0.084	0.145	0.059	0.259	0.167	0.218	0.14	0.26	0.117156432114729	5.62325607911949e-17	0.0142847625313482
EE	0.636	0.829	0.786	0.737	0.746	0.72	0.977	0.988	0.917635075613851	0.687961767257145	0.91691713963246
EE	0.629	0.664	0.654	0.619	0.503	0.508	0.529	0.436	0.457206006534256	0.000180905313483639	0.569047824233283
EE	0.517	0.476	0.539	0.45	0.367	0.38	0.422	0.309	0.299876022300024	0.00010609899449859	0.154949201386346
meanDE	0.27	0.331	0.32	0.605	0.202	0.291	0.259	0.937	0.219450633971409	0.00131692349849896	0.308506245273403
EE	0.429	0.401	0.481	0.282	0.349	0.574	0.455	0.407	0.686047462257682	0.0387820830659903	0.276929444069758
EE	0.884	0.947	0.62	0.387	0.682	0.594	0.343	0.532	0.338270151506367	9.43504153456432e-05	0.131187678651619
EE	0.941	0.816	0.806	0.873	0.996	0.822	0.848	0.876	0.906084754911014	0.0210932531732162	0.859022971280284
EE	0.444	0.466	0.319	0.34	0.457	0.421	0.378	0.167	0.471229416476128	0.000346378547713229	0.0279020278384811
EE	0.955	1	0.962	0.936	0.978	1	0.951	0.865	0.738895745758061	0.0126872230753632	0.220761900231289
varDE	0.363	0.451	0.704	0.712	0.741	0.619	0.916	0.89	0.528917144121681	1.74008597731262e-07	0.494131423586091
EE	0.912	0.806	0.964	0.409	0.813	0.722	0.807	0.467	0.696841775062591	0.0559830075855878	0.620942299229819
EE	0.283	0.179	0.255	0.196	0.578	0.341	0.477	0.349	0.433288201910503	0.00139640354554106	0.971308483524705
EE	0.342	0.409	0.45	0.479	0.381	0.436	0.35	0.569	0.176233524855606	3.63350226013107e-10	0.0204187195895553
varDE	0.259	0.406	0.288	0.818	0.481	0.44	0.422	0.908	0.183811667208498	4.0723661272327e-10	0.328565133439209
varDE	0.241	0.092	0.146	0.01	0.264	0.098	0.151	0.008	0.228191651848761	7.09725782534516e-12	0.0116165877704446
EE	0.87	0.812	0.904	0.738	0.971	0.974	1	0.377	0.871722204725881	0.700814654567752	0.89837999894449
EE	0.469	0.554	0.39	0.959	0.65	0.754	0.544	1	0.425090432660222	0.0185880769765564	0.248676058124298
EE	0.743	0.96	0.944	0.979	0.825	0.966	0.972	0.977	0.838351737115367	0.462134341464665	0.957598872515611
varDE	0.087	0.046	0.083	0.585	0.046	0.008	0.088	0.801	0.910108675195674	1.69018076451234e-07	0.000574244343783325
EE	0.032	0.211	0.054	0.21	0.015	0.039	0.047	0.075	0.010046234474151	8.81107914185852e-09	0.0106385606304611
EE	NA	NA	0.091	0.315	NA	NA	0.042	0.216	0.0403257870901166	2.0203168085382e-10	0.0352274879444937
EE	0.5	0.532	0.662	0.407	0.662	0.72	0.834	0.43	0.547306595607433	0.241297441736645	0.89697761272464
meanDE	0.643	0.567	0.78	0.611	0.647	0.68	0.822	0.694	0.784799906788758	0.000595584004973021	0.419956739177754
EE	0.393	0.553	0.464	0.651	0.264	0.471	0.242	0.551	0.253534526320488	0.0621339181311063	0.455716181263664
varDE	0.041	0.065	0.206	0.426	0.062	0.008	0.074	0.289	0.322936841105171	0.000735781003910982	0.00457513551078221
EE	0.223	0.283	0.179	0.254	0.342	0.4	0.214	0.284	0.22123918759185	0.000780893684646932	0.0797434670631386
EE	0.345	0.329	0.663	0.95	0.432	0.445	0.867	0.743	0.872548055041901	0.00936932758256785	0.22519021069745
EE	0.204	0.336	0.325	0.116	0.377	0.553	0.729	0.076	0.670795998218191	0.00370535743576989	0.319277584905438
EE	0.761	0.602	0.772	0.37	0.917	0.99	0.954	0.764	0.930126216285801	0.986585236384975	0.989398185368672
EE	0.849	0.713	0.806	0.768	0.669	0.795	0.727	0.701	0.911568396925425	0.0430524439577828	0.663583149617605
EE	0.452	0.326	0.384	0.275	0.496	0.463	0.456	0.378	0.99040078561201	0.105296500904267	0.583760205346811
meanDE	0.016	0.01	0.026	0.032	0.015	0.015	0.015	0.024	0.00693914135810548	1.58452519562778e-36	2.14164437740678e-05
EE	0.498	0.538	0.504	0.614	0.257	0.301	0.23	0.268	0.0668021738922106	8.44602621704672e-23	0.160877397460785
EE	0.657	0.738	0.687	0.366	0.659	0.728	0.635	0.601	0.41312965952374	7.52229455082848e-07	0.68203993588121
EE	0.785	0.91	0.736	0.878	0.938	0.833	0.907	0.698	0.790556517279716	0.0216857711879308	0.0793327236830434
meanDE	0.368	0.307	0.297	0.336	0.197	0.251	0.161	0.241	0.230923108198897	2.64243377652592e-18	0.000882882226243311
varDE	0.441	0.174	0.262	0.176	0.635	0.286	0.362	0.296	0.477611336976178	4.50318039259297e-39	0.22544050974737
EE	0.223	0.387	0.295	0.064	0.375	0.778	0.553	0.153	0.657558306701166	0.0105167339667125	0.564660051488877
EE	0.64	0.51	0.917	0.325	0.692	0.585	0.891	0.459	0.97170954159647	0.542594802407229	0.490552855609929
EE	0.843	0.818	0.944	0.888	0.99	0.996	0.913	0.858	0.73500647866589	0.412303793343092	0.981480361854497
EE	0.738	0.834	0.938	0.896	0.419	0.609	0.636	0.793	0.510107664171107	0.301614296260193	0.845414114156916
varDE	0.416	0.32	0.651	0.404	0.65	0.52	0.837	0.694	0.364473984582548	6.63267063392532e-07	0.00112143371908029
varDE	0.398	0.512	0.401	0.551	0.449	0.599	0.629	0.774	0.76568124445612	0.0358782632726135	0.479612409868516
EE	0.446	0.463	0.43	0.482	0.449	0.445	0.452	0.525	0.159956640444352	5.2941825089573e-17	0.401050363743653
EE	0.972	0.966	0.993	0.991	0.638	0.644	0.655	0.744	0.532891246531943	0.0032928196213442	0.447139268572168
EE	0.521	0.582	0.518	0.17	0.249	0.305	0.12	0.307	0.115182552700948	9.02471737432864e-06	0.978523115816799
EE	0.756	0.873	0.865	0.748	0.298	0.345	0.325	0.985	0.389339410037088	1.06159614332265e-12	0.419432137430831
EE	0.636	0.85	0.742	0.489	0.376	0.691	0.405	0.243	0.271948437078585	0.00012345103170611	0.0479113436137776
EE	0.459	0.449	0.601	0.944	0.485	0.646	0.868	0.975	0.526598967008441	0.242578843058267	1
EE	0.857	0.624	0.931	0.567	0.898	0.875	0.986	0.778	0.899212136399611	0.0405665567822264	0.408273113933946
EE	0.689	0.83	0.721	0.674	0.794	0.728	0.986	0.694	0.757728821976444	0.00242291371654535	0.472746045187932
EE	0.659	0.787	0.626	0.279	0.978	0.936	0.899	0.785	0.973810858436619	0.0686194342784436	0.0937410396692827
EE	0.256	0.19	0.248	0.069	0.175	0.128	0.17	0.089	0.403495939906478	6.31995201540386e-09	0.216313932384032
meanDE	0.51	0.597	0.502	0.346	0.671	0.901	0.712	0.07	0.652695517825534	0.0657191603959731	0.455276213085334
varDE	0.556	0.451	0.779	0.467	0.758	0.474	0.906	0.674	0.44577402584267	0.0142905671397591	0.772450028595328
EE	0.933	0.882	0.825	0.393	0.55	0.503	0.732	0.313	0.732819928082827	0.0518872150075949	0.0912115102134929
EE	0.548	0.325	0.611	0.456	0.197	0.253	0.256	0.256	0.180180374346523	8.33066944346856e-14	0.110392273162871
EE	0.3	0.168	0.156	0.154	0.762	0.566	0.62	0.605	0.307945071007451	0.0767267898469492	0.538275741695754
varDE	0.699	0.657	0.566	0.666	0.471	0.445	0.447	0.421	0.750892313341841	0.000648028450113353	0.0522337796966448
EE	0.574	0.449	0.432	0.928	0.478	0.384	0.475	0.888	0.856099637089798	0.315726704286519	0.484193465546925
EE	0.163	0.169	0.145	0.183	0.437	0.397	0.409	0.256	0.46660714594769	4.37824155773877e-07	0.159708478091941
meanDE	0.211	0.166	0.292	0.525	0.566	0.596	0.701	0.913	0.196100767248512	0.001369364688658	0.13086500633143
EE	0.583	0.389	0.758	0.585	0.289	0.254	0.378	0.391	0.599769389208568	0.132348967221496	0.242514227738736
EE	0.577	0.66	0.882	0.324	0.524	0.621	0.768	0.523	0.86822085483195	0.793001845189884	0.510537546937482
EE	0.049	0.074	0.094	0.135	0.129	0.129	0.169	0.082	0.231667355377225	5.63795435752005e-15	0.0556863138482478
EE	0.92	0.949	0.967	0.341	0.74	0.744	0.729	0.452	0.611942936744533	4.34003012761836e-08	0.466277825370809
EE	0.984	0.759	0.513	0.735	0.958	0.763	0.702	0.935	0.703112296085004	0.00498083313161438	0.216432424188114
EE	0.553	0.688	0.84	0.763	0.55	0.766	0.837	0.615	0.612108600755068	0.0518339209371979	0.202538390392609
EE	0.087	0.102	0.077	0.603	0.051	0.023	0.031	0.613	0.0266715297630988	1.89868405160516e-28	0.000202887775619843
varDE	0.712	0.58	0.553	0.289	1	0.964	0.901	0.399	0.707469013645704	0.174105931710983	0.810439125146091
meanDE	0.786	0.656	0.629	0.251	0.654	0.618	0.392	0.235	0.58279274826149	0.103679604785454	0.314322373524905
meanDE	0.402	0.306	0.281	0.217	0.137	0.143	0.037	0.076	0.0873517642836712	0.000170713264913961	0.15565038516783
varDE	0.414	0.233	0.594	0.486	0.239	0.011	0.49	0.279	0.551401450294537	3.97237800000039e-10	1
EE	0.78	0.592	0.894	0.713	0.42	0.352	0.715	0.747	0.969193072677367	0.196433914665836	0.244423622547344
varDE	0.398	0.295	0.494	0.578	0.404	0.284	0.466	0.527	0.91791169270683	0.0341732229839964	0.405744481169084
EE	0.244	0.267	0.254	0.935	0.481	0.657	0.458	0.858	0.476828383787965	4.40615772919338e-05	0.647507593230452
varDE	0.788	0.605	0.719	0.64	0.374	0.475	0.615	0.568	0.530426727134231	0.392868692964176	0.339305261675189
EE	0.488	0.503	0.339	0.171	0.466	0.508	0.396	0.464	0.414691241314593	3.68806647345783e-05	0.19920275864091
EE	0.688	0.67	0.769	0.55	0.556	0.599	0.647	0.789	0.852794040224125	0.204756950919587	0.25684993634922
EE	0.722	0.889	0.841	0.912	0.832	0.954	0.946	0.866	0.916553450248972	0.18548174367163	0.509296323208618
EE	0.067	0.03	0.036	0.088	0.064	0.023	0.041	0.073	0.0240106865678949	2.08307005712662e-07	0.00386440863394666
EE	0.173	0.198	0.198	0.432	0.163	0.201	0.21	0.393	0.235813120105838	4.18926761514592e-08	0.0404932978204147
varDE	0.228	0.26	0.262	0.525	0.092	0.074	0.105	0.936	0.308201948996259	7.28212347350947e-08	0.00436206611218178
varDE	0.846	0.745	0.798	0.744	0.844	0.669	0.858	0.901	0.554124123320829	1.04517589315524e-09	0.597567266348726
EE	0.722	0.718	0.72	0.782	0.641	0.779	0.639	0.801	0.491230706210198	9.28526194694165e-09	0.18875300221955
varDE	0.399	0.269	0.34	0.359	0.625	0.412	0.39	0.115	0.690993934473129	1.19146630872847e-05	0.000217785653221146
EE	0.12	0.163	0.179	0.225	0.241	0.304	0.347	0.368	0.240314222894395	1.19266601963007e-38	0.134095474378861
EE	0.778	0.668	0.901	0.294	0.412	0.393	0.6	0.193	0.519837667728025	0.0160238329225645	0.356461758536911
EE	0.557	0.591	0.817	0.757	0.485	0.609	0.833	0.993	0.68447354456592	0.0790793926167108	0.0819200195319921
EE	0.996	0.754	0.772	0.412	0.939	0.825	0.831	0.782	0.826445591216205	0.0567988559519507	0.0652349978407957
EE	0.378	0.357	0.739	0.854	0.287	0.338	0.658	0.466	0.597631546704737	0.158375552806053	0.48925771828149
EE	0.711	0.557	0.784	0.58	0.708	0.581	0.813	0.601	0.816032093587302	0.00482035132410345	0.545342412936156
EE	0.343	0.292	0.328	0.343	0.413	0.369	0.404	0.433	0.345601449375612	0.00154145617623566	0.617545322872284
EE	0.569	0.699	0.531	0.6	1	0.897	0.873	0.902	0.557236595910862	0.419635599300865	0.893617749743977
EE	0.682	0.435	0.534	0.108	0.426	0.276	0.337	0.008	0.233711641142528	2.6544521809355e-05	0.220815070091083
EE	0.34	0.379	0.413	0.187	0.375	0.408	0.372	0.213	0.484428725863015	0.643656356930371	0.758402514542954
EE	0.524	0.618	0.528	0.41	0.348	0.484	0.37	0.294	0.307494675208341	1.24774056649907e-09	0.0804761392908058
varDE	0.613	0.627	0.665	0.523	0.548	0.645	0.53	0.577	0.635555035114545	5.4306177151831e-08	0.0372260179116495
varDE	0.528	0.366	0.537	0.263	0.547	0.351	0.538	0.086	0.939877796137181	3.0073242883979e-08	0.00784292331773282
EE	0.385	0.335	0.514	0.449	0.572	0.711	0.583	0.516	0.318408035903681	0.00847092128520105	0.389947779022013
EE	0.052	0.071	0.069	0.06	0.2	0.231	0.286	0.251	0.254804816688269	1.84388409095362e-22	0.17224208959805
varDE	0.402	0.235	0.5	0.517	0.551	0.335	0.581	0.602	0.568379310384946	0.00308747197038934	0.0250925557712309
varDE	0.18	0.078	0.129	0.066	0.143	0.054	0.058	0.008	0.101235139178198	2.42155644958377e-19	0.000793399789132185
EE	0.07	0.119	0.076	0.36	0.031	0.034	0.021	0.451	0.0448382329342102	3.22692720625781e-14	0.00103052421455338
EE	0.941	0.867	0.965	0.867	0.552	0.455	0.603	0.602	0.426173812123047	0.000272959605938749	0.709983048215702
EE	0.549	0.455	0.672	0.484	0.266	0.239	0.328	0.243	0.260987378217759	0.00154789908544176	0.550606352126078
meanDE	0.597	0.526	0.661	0.885	0.658	0.675	0.794	0.871	0.724641903220192	0.00300143202722631	0.0409156776363687
EE	0.062	0.034	0.055	0.102	0.1	0.077	0.159	0.153	0.11166133832867	5.06474917835518e-05	0.144056841732641
EE	0.247	0.283	0.231	0.23	0.26	0.311	0.228	0.14	0.825846264721939	0.0270211079382207	0.116133491303569
EE	0.402	0.35	0.425	0.388	0.28	0.27	0.387	0.77	0.308005339164797	0.0050823485397113	0.917907807911612
EE	0.263	0.274	0.435	0.585	0.623	0.636	0.584	0.474	0.806724528034497	0.0821142594508982	0.0670807606908608
EE	0.016	0.008	0.012	0.156	0.038	0.014	0.023	0.203	0.0428126506014128	1.50864653238635e-10	0.202202735942569
EE	0.609	0.473	0.584	0.455	0.949	0.822	0.91	0.521	0.636997767859193	0.494001301422318	0.984345021199906
EE	0.387	0.404	0.405	0.318	0.5	0.478	0.505	0.477	0.353635831629582	1.11742171710883e-05	0.175026436426926
meanDE	0.649	0.629	0.126	0.282	0.643	0.618	0.063	0.247	0.219723645282078	0.00278642286441635	0.0348024472772496
EE	0.222	0.168	0.283	0.678	0.459	0.46	0.872	0.918	0.361729660679141	4.81196581462109e-06	0.00752565643525371
EE	0.867	0.869	0.814	0.867	0.762	0.91	0.81	0.691	0.744086826764331	0.826716963450434	0.700043047472206
varDE	0.302	0.369	0.331	0.351	0.135	0.209	0.135	0.205	0.0217219665188974	3.52529274143053e-33	0.00288399133906883
EE	0.73	0.974	0.855	0.923	0.595	0.693	0.559	0.913	0.463358352773742	0.0308286158776453	0.371367524066108
meanDE	0.662	0.865	0.799	0.587	0.421	0.792	0.477	0.527	0.543474683283391	0.0186897716873169	0.0511736254285833
EE	0.315	0.26	0.546	0.396	0.408	0.352	0.469	0.477	0.432125848621144	0.334238945609771	0.314929837369522
varDE	0.064	0.014	0.026	0.006	0.033	0.008	0.017	0.014	0.455662440500677	0.000258026761228043	0.0025658545180398
varDE	0.386	0.311	0.494	0.4	0.305	0.183	0.571	0.463	0.941788116107918	0.0316403018927934	0.25471247279116
EE	0.701	0.688	0.816	0.048	0.428	0.424	0.478	0.008	0.61741768717671	0.308144139128916	0.426756952340636
varDE	0.831	0.836	0.471	0.294	0.761	0.772	0.471	0.222	0.622572052453426	0.000119933413475179	0.0174427247148339
EE	0.256	0.223	0.221	0.368	0.546	0.538	0.553	0.664	0.443043564758987	0.000116578099195334	0.588022662258775
EE	0.665	0.856	0.743	0.695	0.812	0.952	0.895	0.576	0.774566137762897	0.410875111445993	0.435325815911083
EE	0.292	0.127	0.164	0.099	0.64	0.412	0.64	0.008	0.547359903190697	4.94252072914113e-05	0.240930972759103
EE	0.676	0.666	0.738	0.743	0.992	0.886	0.739	0.6	0.99133783075787	0.588860489305358	0.642509763843755
EE	0.845	0.956	0.92	0.395	0.905	0.954	0.668	0.399	0.847460712205001	0.0941936929490479	0.159319159687258
varDE	0.247	0.238	0.393	0.104	0.575	0.387	0.712	0.209	0.735338988914769	4.13519394900735e-10	0.0234220768615739
EE	0.247	0.284	0.241	0.628	0.149	0.193	0.104	0.927	0.0348340122134162	1.36841802777099e-06	0.0636124136377173
EE	0.565	0.537	0.655	0.51	0.415	0.413	0.522	0.332	0.393813625413044	1.71416929935497e-09	0.104221446771327
meanDE	0.004	0.03	0.009	0.251	0.008	0.008	0.008	0.052	4.16952111794538e-06	2.53378750864777e-220	1.95223538322036e-07
EE	0.156	0.063	0.141	0.034	0.34	0.16	0.3	0.008	0.109512273968275	6.0439305500058e-08	0.250342735129013
EE	0.708	0.657	0.59	0.619	0.284	0.284	0.217	0.315	0.63276565964603	5.3497137086733e-08	0.0177386124055612
EE	0.226	0.202	0.124	0.272	0.219	0.269	0.078	0.16	0.0865799278108106	4.57137958960778e-08	0.00650303767345072
varDE	0.627	0.609	0.659	0.639	0.377	0.48	0.392	0.492	0.477639755855994	3.29555039224664e-21	0.475416966327599
EE	0.225	0.3	0.439	0.673	0.189	0.264	0.274	0.337	0.39713416884781	0.0066652289782247	0.28883966087703
EE	0.868	0.915	0.844	0.617	0.646	0.494	0.83	0.86	0.533928824843775	0.302754478773733	0.86511469221865
EE	0.409	0.523	0.387	0.436	0.593	0.668	0.452	0.36	0.655829171957921	0.00011937668091696	0.41184165369987
meanDE	0.866	0.674	0.962	0.968	0.894	0.722	1	0.951	0.62649605549656	0.932730112970549	0.788675362025497
EE	0.894	0.723	0.977	0.989	0.876	0.798	0.996	0.854	0.895196021056536	0.717157850773241	0.700510509222357
meanDE	0.56	0.497	0.489	0.758	0.9	0.86	0.878	0.746	0.455952901045699	0.0341875929355999	0.529074725428194
EE	0.017	0.025	0.029	0.019	0.054	0.014	0.08	0.063	0.0394405229006063	1.34939040707098e-17	0.0117047026191412
varDE	0.815	0.666	0.523	0.629	0.773	0.823	0.704	0.744	0.628028873693588	0.00099706942454427	0.846594460329575
EE	0.562	0.827	0.422	0.032	0.604	0.875	0.314	0.008	0.122832669616194	0.000283677063309051	0.18179009376527
EE	0.342	0.265	0.175	0.266	0.435	0.539	0.198	0.201	0.17035220721808	0.056718139859206	0.214174983343182
EE	0.317	0.414	0.586	0.823	0.53	0.595	0.627	0.947	0.29135273553739	0.0270444132289601	0.375170922887593
EE	0.684	0.72	0.828	0.375	0.558	0.534	0.75	0.46	0.972686410025027	0.163708946083398	0.121352568675518
EE	0.761	0.68	0.847	0.513	0.612	0.516	0.718	0.987	0.646072419708446	0.305021529184899	0.932617980745718
varDE	0.013	0.011	0.015	0.028	0.146	0.16	0.152	0.204	0.151747690671258	1.07777553195354e-21	0.0129104810226135
varDE	0.289	0.151	0.424	0.577	0.189	0.008	0.249	0.458	0.776989151091387	0.000183982448924007	0.24602526939584
varDE	0.552	0.693	0.723	0.455	0.777	0.886	0.975	0.776	0.835017072223858	0.0708153306807419	0.608120108467441
EE	0.899	0.538	0.849	0.274	0.752	0.908	0.866	0.228	0.877034702177906	0.00441290524704686	0.382369627865852
EE	0.056	0.043	0.144	0.303	0.087	0.039	0.088	0.238	0.100984030694699	6.322463580255e-08	0.003083237438205
meanDE	0.511	0.485	0.401	0.48	0.963	0.957	0.911	0.98	0.977465338793774	0.138633682626706	0.916590699493593
EE	0.321	0.175	0.269	0.294	0.344	0.242	0.315	0.33	0.138130767084425	1.39568925830619e-15	0.123352447494365
meanDE	0.043	0.045	0.037	0.042	0.073	0.093	0.067	0.06	0.0447167238773055	4.43357203681166e-44	0.00144092162974824
EE	0.999	0.997	0.925	0.512	0.984	0.974	0.944	0.281	0.899861952561583	0.852180926998831	0.648557122451326
EE	0.4	0.21	0.499	0.594	0.564	0.434	0.702	0.605	0.44998410430912	0.500664578205791	0.496747292602712
meanDE	0.282	0.123	0.237	0.921	0.465	0.272	0.474	0.823	0.17093270436106	4.2874654967998e-05	0.915427532373179
meanDE	0.83	0.739	0.851	0.87	0.927	0.958	0.73	0.786	0.824666066993704	0.919966967409746	0.742672566102978
meanDE	0.092	0.051	0.068	0.032	0.248	0.115	0.201	0.115	0.0656788645725766	7.35761701386085e-32	0.121885721860162
EE	0.188	0.125	0.307	0.461	0.354	0.317	0.473	0.783	0.0865680306959162	0.0366226318023821	0.269879490454467
EE	0.927	0.982	0.925	1	0.968	0.947	0.883	0.956	0.921436239241332	0.688875696089618	0.962697447125874
EE	0.795	0.947	0.863	0.904	0.952	0.848	1	0.969	0.933157801261071	0.0122296399714903	0.023778545424942
meanDE	0.367	0.482	0.257	0.47	0.392	0.6	0.181	0.393	0.192440134106588	0.000698960547066791	0.0593157009927789
EE	0.748	0.995	0.854	0.991	0.81	0.996	0.858	0.984	0.649514880349302	0.418001400023903	0.958496096968965
EE	0.496	0.652	0.493	0.717	0.378	0.645	0.337	0.857	0.302820618540441	1.83804477084809e-08	0.0796830509648093
EE	0.782	0.955	0.898	0.592	0.584	0.865	0.885	0.612	0.630124940980208	0.000739916010051459	0.0201749990593936
meanDE	0.51	0.397	0.495	0.784	0.311	0.263	0.301	0.912	0.195454733776315	0.000737431368759926	0.399617496664622
EE	0.714	0.638	0.854	0.904	0.478	0.446	0.506	0.788	0.711056233966808	0.119186464837577	0.305474095810478
EE	0.265	0.375	0.384	0.665	0.296	0.404	0.421	0.76	0.320608725210357	3.38991918937474e-08	0.0402224114624604
EE	0.855	0.888	0.828	0.674	0.815	0.961	0.813	0.974	0.713627085215384	0.075211775424558	0.0979523929653527
EE	0.699	0.837	0.832	0.372	0.967	0.947	0.948	0.566	0.895860112348969	0.0634684066214114	0.487211477139952
EE	0.639	0.763	0.944	0.779	0.894	0.693	0.723	0.327	0.60581027860469	0.543970055979356	0.852048403163784
EE	0.964	0.98	0.831	0.184	0.985	0.849	0.674	0.418	0.537098233659368	0.000116482002851566	0.137086326292191
varDE	0.014	0.012	0.011	0.492	0.087	0.057	0.096	0.809	0.044933515754521	9.67638668181945e-27	0.0436229234726248
EE	0.751	0.878	0.876	0.653	0.935	0.662	0.972	0.604	0.894709041679185	0.974411520214779	0.913279844402209
EE	0.957	0.989	0.406	0.672	0.416	0.457	0.186	0.917	0.158624088789191	0.00694665331100561	0.781975451637736
EE	0.464	0.373	0.352	0.275	0.163	0.093	0.165	0.056	0.183317701766007	0.0015089724626404	0.229740574313928
EE	0.74	0.826	0.693	0.492	0.736	0.623	0.576	0.481	0.916794100444228	0.00313195998070763	0.0226153803177501
EE	0.986	0.839	0.76	0.984	0.961	0.869	0.584	0.889	0.39790703369734	3.69853029654598e-05	0.0701061083717785
meanDE	0.715	0.786	0.717	0.906	0.942	0.987	0.98	0.962	0.789835637267895	0.887887599374454	0.849540383539221
EE	0.564	0.493	0.398	0.49	0.554	0.489	0.42	0.501	0.368057504911514	1.41034918681666e-06	0.0317382363709817
meanDE	0.821	0.672	0.513	0.495	0.832	0.671	0.508	0.658	0.55778150007396	0.0105484920183774	0.0970851078447041
EE	0.603	0.901	0.712	0.245	0.611	0.874	0.658	0.723	0.620221957348391	0.386421909138473	0.873761683203573
EE	0.675	0.655	0.737	0.85	0.802	0.619	0.462	0.717	0.3811219337378	8.3450963633936e-05	0.0319989934389
meanDE	0.16	0.299	0.109	0.171	0.146	0.185	0.078	0.018	0.0492296399475344	2.52805550202736e-07	0.0032470212417932
varDE	0.399	0.193	0.343	0.388	0.362	0.201	0.352	0.78	0.317113209339895	4.01963110478084e-06	0.824869998168848
EE	0.062	0.077	0.125	0.139	0.223	0.237	0.453	0.425	0.175449779025793	9.55034187235651e-17	0.0229301745171718
EE	0.939	0.925	0.999	0.957	0.844	0.791	0.949	0.884	0.66327412210751	0.187091745730379	0.749864343465648
meanDE	0.041	0.116	0.088	0.131	0.008	0.027	0.035	0.047	0.0129726417564399	4.13790793548548e-49	0.00608226733638392
EE	0.722	0.706	0.524	0.218	0.988	0.876	0.759	0.601	0.878961630797779	0.0804214629437155	0.768023215963742
EE	0.074	0.162	0.225	0.291	0.2	0.305	0.411	0.584	0.407235932386154	8.90351820691442e-08	0.0744804172587862
EE	0.526	0.491	0.512	0.655	0.405	0.385	0.445	0.634	0.336406819971327	1.37913517447335e-10	0.227179469562285
EE	0.361	0.321	0.587	0.974	0.27	0.347	0.296	0.883	0.292157454931017	2.15866231950393e-09	0.0172109546001155
EE	0.674	0.746	0.505	0.395	0.954	0.917	0.837	0.687	0.835613709821006	0.96934326023523	0.940219571400756
EE	0.038	0.02	0.04	0.036	0.119	0.066	0.075	0.061	0.0677082543922573	3.7995736159776e-08	0.0205469657319834
meanDE	0.016	0.025	0.026	0.024	0.06	0.07	0.092	0.058	0.173465174328143	1.49028618414336e-28	0.0991621888971499
varDE	0.269	0.339	0.444	0.156	0.144	0.11	0.251	0.028	0.0529873845174402	7.38693405037218e-06	0.0118244974852914
EE	0.973	0.832	0.982	0.52	0.411	0.605	0.557	0.589	0.464005135211121	2.65715023859711e-15	0.65565298173964
EE	0.764	0.501	0.65	0.523	0.574	0.42	0.444	0.531	0.376336808847783	0.000920834741822169	0.237586689540188
EE	0.712	0.513	0.894	0.578	0.633	0.316	0.774	0.407	0.858958387536901	0.895153544950527	0.926870650264621
EE	0.172	0.207	0.263	0.337	0.223	0.23	0.258	0.282	0.236524910882233	1.00703071383617e-05	0.032410652629852
varDE	0.376	0.357	0.555	0.274	0.453	0.372	0.657	0.317	0.507063714752636	4.59785342315383e-06	0.241641589531389
varDE	0.428	0.379	0.612	0.668	0.192	0.161	0.226	0.816	0.47393664063042	3.62002062383702e-06	0.0499724089939807
varDE	0.146	0.009	0.072	0.019	0.015	0.008	0.017	0.008	0.442216201882959	4.66109668243047e-11	0.00811842313460116
EE	0.47	0.424	0.239	0.185	0.749	0.657	0.41	0.147	0.617144119607314	0.00401984942427403	0.0396695631750396
EE	0.298	0.375	0.227	0.301	0.245	0.348	0.168	0.285	0.198841481040117	1.76734988211477e-07	0.195605889430101
varDE	0.498	0.327	0.422	0.451	0.256	0.144	0.203	0.204	0.0368133970214739	1.37966058783933e-29	0.097675022048704
EE	0.685	0.52	0.531	0.4	0.48	0.467	0.285	0.083	0.298268082983888	7.29895384478896e-08	0.117585120691362
varDE	0.222	0.195	0.211	0.094	0.233	0.241	0.147	0.199	0.0507236619259276	9.45483723361195e-34	0.0635211667446164
EE	0.898	0.785	0.969	0.538	0.45	0.433	0.71	0.448	0.90826901953209	0.0149296792793249	0.266614191311676
EE	0.977	0.971	0.822	0.617	0.855	0.939	0.834	0.79	0.790990316444402	0.165964222721481	0.844898998752151
EE	0.543	0.346	0.502	0.35	0.782	0.508	0.719	0.541	0.798937236404485	0.59324568704657	0.946307275555981
meanDE	0.158	0.185	0.263	0.141	0.12	0.199	0.24	0.525	0.237894380742415	0.000141801566205833	0.0241972921559654
EE	0.311	0.306	0.176	0.05	0.546	0.679	0.588	0.182	0.190903958445241	0.00063872236975779	0.347093859080084
EE	0.354	0.451	0.348	0.844	0.365	0.445	0.323	0.848	0.309622944637113	2.40882724190599e-16	0.135435944864834
