geneType	KR_zinb_Was	KR_zinb_JSD	KR_kde_Was	KR_kde_JSD	PS_zinb_Was	PS_zinb_JSD	PS_kde_Was	PS_kde_JSD	deseq2_pval	mast_pval_glm	mast_pval_glmer	ranksum_pval
EE	0.27	0.347	0.303	0.11	0.263	0.335	0.305	0.102	0.199389149896583	0.00114832015447921	0.453192286854072	0.0617598799971601
EE	0.72	0.776	0.465	0.092	0.678	0.78	0.459	0.084	0.625891221503444	0.130569663837909	0.647181762719666	0.00651426796182463
EE	0.51	0.403	0.674	0.595	0.544	0.415	0.704	0.591	0.33625420212686	0.330844503243579	0.636063847056438	0.635730355413924
EE	0.84	0.809	0.737	0.491	0.823	0.764	0.728	0.481	0.64076298411177	0.19199350531584	0.517361613015102	0.0503272458494531
EE	0.388	0.333	0.31	0.744	0.321	0.265	0.251	0.808	0.0859674485356305	0.00122727625536522	0.107903988407873	3.38236697890347e-05
EE	0.875	0.94	0.819	0.978	0.922	0.891	0.85	0.946	0.952346355089785	0.886984609812088	0.885040906335264	0.0970849098464027
EE	0.026	0.023	0.081	0.986	0.011	0.01	0.044	0.975	0.0259045457166719	7.22874589676675e-10	0.0666392339882513	0.000764357896746654
EE	0.273	0.225	0.247	0.226	0.221	0.174	0.253	0.191	0.378903068241321	3.02624909146611e-05	0.23367578622042	0.0263293517738807
EE	0.792	0.812	0.995	0.828	0.822	0.806	0.988	0.825	0.978221789546204	0.737400763321833	0.956487336494668	0.438175752282432
EE	0.794	0.566	0.814	0.581	0.786	0.585	0.82	0.564	0.855586920830241	0.976522759226012	0.993052520961457	0.149918256382142
EE	0.525	0.502	0.927	0.792	0.437	0.462	0.925	0.754	0.542261637238292	0.274681362325854	0.658732749698161	0.0426877878182617
EE	0.906	0.674	0.761	0.196	0.901	0.672	0.779	0.201	0.913591378999878	0.904941995109897	0.993619041497354	0.890757644984361
EE	0.13	0.138	0.194	0.187	0.086	0.102	0.137	0.147	0.0354817459962362	1.63318780983532e-45	0.0143008722297496	5.0283343461539e-12
EE	0.737	0.903	0.609	0.076	0.714	0.929	0.553	0.069	0.442314288638069	0.00050043316027428	0.460496179374445	8.05635052314616e-14
EE	0.368	0.286	0.284	0.644	0.36	0.315	0.313	0.646	0.320789785060309	3.89389569571551e-05	0.257668511004949	0.000125804052995858
EE	0.571	0.697	0.477	0.216	0.597	0.696	0.501	0.198	0.51136452687397	0.00704978579987578	0.519260080503731	0.0521142903227421
meanDE	0.001	0.001	0.003	0.0580000000000001	0.001	0.001	0.003	0.073	4.00192464852703e-06	2.54866806562745e-21	1.8269592806067e-05	8.05045053283684e-21
EE	0.662	0.741	0.794	0.389	0.671	0.714	0.804	0.333	0.764108841247243	0.848968681304896	0.910417034416735	0.517095466633838
EE	0.84	0.905	0.678	0.491	0.787	0.861	0.618	0.401	0.417696148702295	1.59969697845619e-05	0.535935595493973	0.110116353611595
EE	0.817	0.491	0.743	0.664	0.768	0.458	0.72	0.723	0.4986105025718	0.128324832014464	0.571004450371002	0.234264273060054
EE	0.139	0.156	0.098	0.09	0.102	0.118	0.061	0.056	0.130365820303864	8.7131353494456e-06	0.145364619332838	2.77963038459406e-11
EE	0.422	0.637	0.375	0.318	0.457	0.644	0.363	0.304	0.600051629304155	0.039897976617865	0.674739933015221	0.552876480229136
meanDE	0.001	0.001	0.002	0.14	0.001	0.002	0.001	0.12	5.45287928247603e-06	1.17358072736558e-12	0.0937999153120596	2.65243077524658e-14
EE	0.85	0.95	0.869	0.761	0.932	0.983	0.93	0.772	0.878052327745214	0.78416390488524	0.956700617431068	0.737408980132068
EE	0.023	0.0580000000000001	0.0620000000000001	0.0659999999999999	0.053	0.058	0.069	0.077	0.0429680449290277	4.60079887399597e-19	0.03681867144583	7.86973524419316e-10
EE	0.046	0.017	0.016	0.003	0.025	0.013	0.01	0.005	0.00300686847954593	9.3868027500043e-20	0.000836202636000633	4.07661281634713e-12
EE	0.289	0.398	0.405	0.976	0.239	0.305	0.34	0.952	0.400482958984262	8.44318559501076e-06	0.379951493519251	0.668995584217785
EE	0.156	0.124	0.522	0.89	0.163	0.124	0.558	0.888	0.529630751767548	0.126312311637962	0.532560058581411	0.180827183109547
meanDE	0.001	0.001	0.001	0.002	0.001	0.001	0.001	0.001	1.37462112658966e-06	1.07568845200731e-100	5.05122153533786e-07	3.19831900281882e-86
EE	0.472	0.488	0.518	0.54	0.451	0.471	0.516	0.552	0.486540493189716	2.78045895351062e-06	0.506051420507174	5.02951890632423e-23
meanDE	0.00800000000000001	0.035	0.014	0.087	0.009	0.037	0.009	0.062	0.00479577742440017	2.62606164103421e-43	0.0135284527910893	7.02136926894296e-32
EE	0.401	0.662	0.296	0.418	0.357	0.675	0.226	0.415	0.302920673736911	0.0779440609339992	0.472667879267462	0.741788819255679
EE	0.602	0.579	0.61	0.452	0.56	0.555	0.584	0.445	0.72044211422514	0.382468985947013	0.930807453781794	0.0189750679640844
EE	0.607	0.767	0.856	0.742	0.601	0.754	0.87	0.782	0.368644104791615	0.00719409977973068	0.641373246381151	0.0887487535580921
varDE	0.334	0.091	0.338	0.052	0.374	0.099	0.362	0.06	0.721218280929566	4.61509396102233e-15	0.0417497805146305	0.0038550831398402
EE	0.371	0.469	0.266	0.41	0.288	0.316	0.155	0.324	0.281335304568593	1.77876741448876e-07	0.298815550824752	8.44333912053173e-27
EE	0.199	0.182	0.469	0.181	0.216	0.195	0.493	0.18	0.652076599526567	0.0570640253202029	0.498799599399448	0.0112775621209667
EE	0.55	0.689	0.697	0.988	0.529	0.655	0.672	0.989	0.540456919180791	0.546166038182639	0.752246218790617	0.672601775411824
varDE	0.003	0.001	0.002	0.029	0.002	0.001	0.002	0.029	0.82202728507357	1.54399035239454e-29	2.44993046561153e-08	1.39044193754395e-06
varDE	0.032	0.033	0.0679999999999999	0.094	0.018	0.019	0.049	0.035	0.0032472597775363	4.15202287870257e-132	0.000943500262251246	1.14569384612841e-140
EE	0.647	0.622	0.864	0.874	0.601	0.571	0.84	0.89	0.528722772980355	0.54465039259591	0.843353452270637	0.075310899416476
EE	0.534	0.366	0.353	0.746	0.505	0.32	0.348	0.688	0.32728735201559	1.65995933940953e-09	0.217453425610349	8.51892248137037e-18
meanDE	0.462	0.656	0.533	0.895	0.42	0.614	0.487	0.895	0.570904561868222	0.0537305952100611	0.735774735575492	0.288662941461735
EE	0.361	0.36	0.413	0.797	0.383	0.385	0.412	0.795	0.38784384946337	0.00110872064465456	0.459612436692299	0.00153766321302529
EE	0.948	0.837	0.659	0.884	0.979	0.82	0.616	0.858	0.814473392302624	0.000427260946790492	0.436565132222663	0.0655739275380742
varDE	0.278	0.034	0.289	0.968	0.294	0.027	0.299	0.951	0.554229338090711	3.21846736544924e-13	0.0214852508407798	1.19681019886618e-08
EE	0.742	0.692	0.765	0.976	0.619	0.582	0.666	0.958	0.706284696650804	0.169896072665645	0.767878808904005	0.166395624466995
EE	0.649	0.703	0.73	0.509	0.679	0.705	0.701	0.502	0.729017013186023	0.000223676696960281	0.352659121257963	0.908008104689323
EE	0.929	0.591	0.938	0.4	0.924	0.627	0.936	0.464	0.710381360528244	0.404551054305811	0.591072248260845	0.703654289741646
EE	0.174	0.188	0.256	0.594	0.163	0.151	0.226	0.62	0.218260880162577	1.11514366703518e-09	0.10575498804338	5.33184529580423e-12
EE	0.881	0.772	0.503	0.182	0.928	0.834	0.553	0.252	0.601862762912779	0.059032526697851	0.734397223288367	0.863715837298394
EE	0.845	0.571	0.856	0.608	0.855	0.576	0.864	0.612	0.639667132586417	0.0942055654566195	0.967613391168952	0.695836048707516
varDE	0.227	0.351	0.336	0.412	0.232	0.313	0.298	0.426	0.0464986146884417	7.43664497065837e-64	0.0834758291999788	2.48791187176649e-12
EE	0.964	0.997	0.808	0.742	0.982	0.981	0.784	0.926	0.98597197711434	0.538776513039707	0.851108159371788	0.20771943887115
EE	0.376	0.282	0.76	0.132	0.371	0.26	0.747	0.067	0.746750577244011	0.6744201256642	0.827435621065099	0.120977463044124
meanDE	0.016	0.112	0.001	0.025	0.028	0.146	0.004	0.016	0.000584506704074675	6.67699093889757e-19	0.000837240116677942	3.5235638191999e-23
EE	0.301	0.449	0.449	0.95	0.298	0.394	0.414	0.922	0.254636037767882	2.89831037527096e-08	0.242913737930829	1.199067146445e-12
EE	0.606	0.487	0.575	0.516	0.561	0.494	0.563	0.471	0.750825319356062	0.00248024771709625	0.746984901892814	1.98015750632598e-10
meanDE	0.314	0.361	0.568	0.539	0.361	0.377	0.586	0.571	0.472477789243409	0.0094952719268743	0.671794960629161	0.000628481196679203
EE	0.343	0.304	0.431	0.36	0.42	0.351	0.477	0.411	0.479049914557371	6.45067893503297e-09	0.634903519314971	0.988059327449694
EE	0.627	0.525	0.751	0.819	0.645	0.55	0.763	0.851	0.840940506930898	0.0752574023321046	0.861320638625372	0.131320673348795
EE	0.085	0.145	0.019	0.185	0.079	0.132	0.009	0.159	0.00293650923272053	1.71553031031684e-18	0.00708005998448428	2.00157775872709e-26
varDE	0.253	0.042	0.147	0.011	0.253	0.022	0.128	0.005	0.608204831780906	3.0076653658838e-17	0.0113190186681049	0.00462189064723805
EE	0.441	0.434	0.432	0.41	0.434	0.415	0.398	0.461	0.399900634845058	1.76684338998101e-10	0.483114722796775	0.506217398879693
EE	0.507	0.424	0.92	0.925	0.523	0.444	0.937	0.944	0.732078141039162	0.636530630410529	0.815627985099113	0.238102564375707
EE	0.921	0.936	0.553	0.775	0.927	0.948	0.545	0.783	0.391844695336972	0.142248171974068	0.521295327717473	0.098921917883664
EE	0.707	0.673	0.93	0.538	0.756	0.743	0.956	0.599	0.875516396841193	0.0463953336549367	0.815998255916958	0.476722342353497
varDE	0.053	0.002	0.034	0.0669999999999999	0.058	0.001	0.035	0.066	0.937563268856068	3.36077536751963e-25	0.000258914495364621	6.34529958126808e-08
EE	0.054	0.04	0.042	0.029	0.054	0.039	0.05	0.03	0.0329887705204603	5.33166557807296e-11	0.0433185044968161	4.80825697553156e-12
EE	0.938	0.777	0.813	0.967	0.945	0.793	0.798	0.984	0.574556779605023	0.100181398820351	0.587957121794724	0.431902202494613
EE	0.853	0.854	0.923	0.834	0.826	0.811	0.906	0.822	0.834600107162	0.837756481741618	0.98989676567527	0.000563702752554496
EE	0.723	0.925	0.656	0.957	0.755	0.937	0.683	0.934	0.45803877044368	0.0322663193580978	0.555165132146069	0.0406102156891983
EE	0.463	0.579	0.347	0.572	0.45	0.583	0.323	0.575	0.209301116285916	8.83802185310387e-05	0.445016258519686	0.0595586863792698
EE	0.969	0.95	0.719	0.834	0.928	0.898	0.653	0.854	0.508173404310462	0.00502698839789922	0.805241047724664	0.00439164349970321
EE	0.7	0.982	0.811	0.959	0.663	0.961	0.783	0.957	0.858426604740814	0.613226493670358	0.905117827473814	0.00989195596984109
EE	0.717	0.718	0.945	0.878	0.729	0.726	0.947	0.847	0.81636324537266	0.214303515132753	0.497071254238544	0.409493228298037
EE	0.893	0.786	0.979	0.237	0.884	0.781	0.976	0.237	0.917894168026232	0.96307515377538	0.982465462925376	0.235114142077492
varDE	0.005	0.001	0.00700000000000001	0.046	0.006	0.001	0.01	0.032	0.668726310438276	3.40166745686799e-23	0.000161719586825686	0.000227226904053932
EE	0.193	0.235	0.184	0.205	0.149	0.192	0.148	0.224	0.0421837663403405	6.71668061537822e-34	0.174570700970357	6.44439767036792e-47
EE	0.973	0.912	0.909	0.402	0.967	0.93	0.869	0.338	0.774272417732532	0.383083989483306	0.862233380747429	0.467152338411331
meanDE	0.891	0.982	0.589	0.66	0.87	0.987	0.577	0.648	0.691083278374274	0.0770875545577648	0.715377911018664	0.509506168738652
EE	0.142	0.164	0.126	0.144	0.153	0.169	0.137	0.144	0.577694857686557	0.380981677846007	0.678772970257	0.0374821912233675
EE	0.598	0.561	0.804	0.803	0.612	0.57	0.813	0.815	0.574134115526696	0.0439207920796921	0.372107965890771	0.852630834851621
EE	0.909	0.923	0.925	0.357	0.865	0.894	0.915	0.339	0.949669002626542	0.714364634512696	0.937776489180559	0.234385076049932
meanDE	0.00600000000000001	0.003	0.004	0.003	0.007	0.004	0.008	0.002	0.00139546755141104	1.66426345978365e-40	0.000407160458923175	2.91636858766385e-21
meanDE	0.34	0.358	0.284	0.32	0.256	0.263	0.22	0.257	0.13288062431299	1.21982045944187e-26	0.111802760513868	2.4028628606128e-52
varDE	0.12	0.04	0.11	0.533	0.135	0.03	0.14	0.492	0.490799982553032	9.15667672107821e-23	0.0019098773056855	2.1420305730543e-12
EE	0.203	0.182	0.229	0.251	0.212	0.181	0.241	0.271	0.197738571683016	2.33518116989833e-06	0.225034102635686	0.00273665622199299
varDE	0.266	0.123	0.404	0.682	0.169	0.042	0.315	0.665	0.967455614653747	6.88460157303758e-14	0.000353504690764793	1.4222646565978e-14
EE	0.39	0.327	0.329	0.217	0.256	0.245	0.209	0.203	0.0410412883411792	7.99030306899339e-34	0.0631595192145523	0.00237355187864369
EE	0.301	0.33	0.272	0.303	0.314	0.343	0.305	0.298	0.48030446607167	0.00315590332319549	0.523906671373153	0.850288195115231
EE	0.183	0.239	0.133	0.881	0.169	0.229	0.181	0.881	0.113915826487704	3.78895851435243e-11	0.133367817086609	0.000676355942186354
meanDE	0.084	0.167	0.0620000000000001	0.87	0.056	0.12	0.041	0.889	0.00435000122272824	2.44460569650748e-15	0.0155137269557702	4.55677985800852e-20
meanDE	0.031	0.037	0.026	0.568	0.033	0.047	0.026	0.553	0.0374665880986477	4.39413689218628e-05	0.0639304698428856	1.35270358205671e-06
varDE	0.153	0.128	0.076	0.038	0.134	0.124	0.074	0.035	0.706282549517025	2.20977857372141e-10	0.00285973945136078	0.916000776435669
EE	0.858	0.894	0.863	0.477	0.866	0.868	0.83	0.538	0.908466310145545	0.831139993124456	0.776987192991673	0.511683198204266
EE	0.234	0.177	0.161	0.187	0.233	0.185	0.152	0.175	0.147107974577778	9.87291966234946e-09	0.0515816806618911	6.58858885583346e-09
EE	0.357	0.384	0.414	0.595	0.446	0.459	0.457	0.606	0.45562693607603	0.0118742049147078	0.592927144164156	0.357592140856025
EE	0.104	0.073	0.203	0.821	0.08	0.07	0.176	0.828	0.123629843421798	4.18327772974077e-07	0.226710979864752	5.70638480986471e-08
EE	0.954	0.936	0.846	0.323	0.96	0.922	0.854	0.313	0.892787966210765	0.930109044773872	0.880734610882109	0.862293773492377
EE	0.759	0.896	0.779	0.672	0.736	0.887	0.795	0.628	0.585716564583491	2.5841153871976e-05	0.600142526138526	0.0117077496824676
EE	0.261	0.252	0.258	0.32	0.191	0.179	0.22	0.279	0.186734223556298	1.67968988694039e-07	0.134977464391508	0.00208403929438554
EE	0.085	0.052	0.084	0.0620000000000001	0.095	0.049	0.096	0.012	0.135456003292882	2.37624698321629e-05	0.197918480430074	0.00320079344229718
EE	0.097	0.0669999999999999	0.12	0.088	0.106	0.075	0.15	0.101	0.111538188547758	5.86899470628735e-13	0.106884563606299	9.65862029844743e-11
EE	0.22	0.149	0.161	0.155	0.247	0.18	0.187	0.174	0.219284223440065	3.09232533089691e-19	0.164635347996515	1.24422446147667e-14
EE	0.241	0.169	0.147	0.151	0.218	0.166	0.16	0.139	0.608126799830751	0.406866724851044	0.945539978364012	0.0351702300227155
EE	0.837	0.857	0.984	0.405	0.886	0.868	0.973	0.386	0.55172218541901	0.122764702259504	0.44534726156059	0.00101362646527077
varDE	0.413	0.505	0.669	0.585	0.425	0.491	0.68	0.58	0.24516614580551	6.66150275873146e-32	0.119891986499948	0.00104564149784432
meanDE	0.097	0.345	0.1	0.281	0.127	0.372	0.132	0.297	0.108772835905777	2.70437449933598e-16	0.0983447187031261	3.91005255747183e-08
EE	0.498	0.693	0.678	0.64	0.518	0.698	0.635	0.701	0.451010999311426	0.0482323496028217	0.411644284728311	0.117451372177409
EE	0.13	0.195	0.117	0.277	0.148	0.215	0.14	0.247	0.115408643900382	1.01788372472213e-10	0.0855092744619197	1.33320034425448e-09
EE	0.569	0.618	0.551	0.745	0.478	0.562	0.501	0.733	0.657659353388002	1.65958137122043e-20	0.497803785651559	2.37572487021843e-88
meanDE	0.174	0.136	0.15	0.223	0.206	0.159	0.157	0.227	0.140922575249984	3.06158900566913e-17	0.0653341518827406	3.59872005781344e-26
meanDE	0.049	0.101	0.019	0.6	0.054	0.09	0.017	0.597	0.00417107682848329	6.75958768402134e-13	0.0113851951293893	2.53650526382721e-11
EE	0.953	0.769	0.949	0.463	0.953	0.825	0.935	0.418	0.939122109033532	0.852212642305738	0.987853179717731	0.858870519945351
EE	0.962	0.891	0.817	0.669	0.978	0.909	0.875	0.691	0.799460740062208	0.707934505918432	0.654231481561094	0.505220183230302
EE	0.541	0.831	0.741	0.975	0.548	0.859	0.728	0.981	0.532034841713035	0.0196729521794578	0.69345795372779	0.399748691323888
EE	0.837	0.988	0.982	0.985	0.913	0.981	0.969	0.969	0.644105701853184	0.290936445343097	0.787745842200919	0.00186156382303064
EE	0.167	0.254	0.2	0.245	0.17	0.236	0.19	0.247	0.0456016124737957	2.11314364574714e-19	0.0911353168466593	6.00165764275131e-19
EE	0.956	0.916	0.971	0.7	0.964	0.9	0.969	0.72	0.80620848023572	0.494438992880833	0.896179944046409	0.00198647960150936
varDE	0.41	0.128	0.394	0.961	0.384	0.137	0.402	0.962	0.830924675578925	1.35219646968126e-19	0.000792890718215749	0.00221486497861444
EE	0.777	0.871	0.654	0.721	0.787	0.886	0.636	0.751	0.780802473934403	0.0332944837192271	0.878089828689635	8.04195182903434e-06
EE	0.831	0.91	0.961	0.986	0.85	0.923	0.959	0.986	0.915955953429295	0.81146994565606	0.978308087046453	0.000369368948495342
varDE	0.126	0.044	0.1	0.62	0.108	0.043	0.093	0.608	0.901303439605822	9.75777673621026e-19	7.73645070660531e-05	1.98614852137257e-07
varDE	0.018	0.001	0.004	0.025	0.014	0.001	0.003	0.02	0.543973399681156	1.44606873199839e-31	7.72708860163412e-07	9.87634369879001e-12
EE	0.997	0.929	0.791	0.19	0.998	0.945	0.79	0.18	0.978606847854763	0.975709272712588	0.988891383774516	0.831908418792039
EE	0.69	0.653	0.529	0.42	0.715	0.706	0.499	0.401	0.441649608551121	0.0017807685142878	0.375504763669771	1.13371760588751e-05
EE	0.424	0.652	0.147	0.102	0.422	0.69	0.169	0.111	0.593918240365661	0.0660009302251186	0.580318583289685	0.0365604926618333
EE	0.225	0.216	0.296	0.234	0.266	0.255	0.272	0.236	0.159091192265861	2.45516102414666e-11	0.150261827366658	3.39058244575076e-11
EE	0.997	0.638	0.774	0.644	0.982	0.689	0.808	0.657	0.872146636990123	0.723553113425371	0.952455506049385	0.0904393958239963
EE	0.167	0.505	0.074	0.473	0.205	0.541	0.111	0.497	0.0519245078184667	2.66029203059465e-10	0.0654318348364251	2.41384170590256e-10
EE	0.411	0.309	0.261	0.256	0.434	0.281	0.231	0.237	0.153759867536941	1.38126042836792e-51	0.20145907321155	2.72945979513829e-05
EE	0.746	0.972	0.72	0.542	0.739	0.939	0.716	0.581	0.827114477275331	0.384457631198609	0.880832638213737	0.0484728856015848
EE	0.189	0.166	0.201	0.048	0.198	0.184	0.215	0.071	0.265484210124429	1.14866702278531e-09	0.263612544859524	2.80166143703106e-10
EE	0.932	0.564	0.98	0.575	0.901	0.55	0.985	0.546	0.614353287452207	0.0704782988393033	0.825978519667167	0.339999456873975
EE	0.521	0.327	0.382	0.853	0.529	0.357	0.391	0.901	0.334392827848354	0.000567310927440346	0.406715266680317	0.00022311208267475
meanDE	0.004	0.00700000000000001	0.00600000000000001	0.012	0.001	0.004	0.003	0.013	0.000107135092265975	2.71209683690294e-14	0.000747601705764809	2.01126185533905e-15
