geneType	KR_zinb_Was	KR_zinb_JSD	KR_kde_Was	KR_kde_JSD	PS_zinb_Was	PS_zinb_JSD	PS_kde_Was	PS_kde_JSD	deseq2_pval	mast_pval_glm	mast_pval_glmer	ranksum_pval
EE	0.385	0.454	0.696	0.674	0.31	0.393	0.656	0.705	0.694450296763657	0.822603614337397	0.652400308909046	0.748689282387986
EE	0.194	0.34	0.354	0.377	0.18	0.343	0.326	0.403	0.452278476870422	0.0651766433155895	0.962339189998466	0.0226929268335886
EE	0.775	0.464	0.269	0.067	0.763	0.516	0.305	0.106	0.375492971076017	0.145713804532723	0.996552122978023	0.0731758861395553
EE	0.487	0.456	0.367	0.689	0.485	0.46	0.321	0.68	0.615535437968603	0.129752511455218	0.895477120272598	0.0535772181351029
varDE	0.178	0.012	0.091	0.912	0.174	0.015	0.074	0.909	0.62233422077874	1.94093830074402e-06	0.000339172005545239	0.0900628981321682
meanDE	0.54	0.37	0.226	0.018	0.509	0.368	0.252	0.027	0.172839504603108	0.00087320416047559	0.070073985692826	0.00209737643345852
EE	0.27	0.139	0.516	0.7	0.263	0.139	0.508	0.711	0.332823476612175	0.150249437164293	0.322251771682389	0.0954636572758105
EE	0.158	0.126	0.127	0.608	0.144	0.11	0.139	0.586	0.0258141755737133	2.93330798694915e-08	0.354493145197988	2.3016770001788e-06
EE	0.157	0.225	0.21	0.155	0.156	0.236	0.227	0.145	0.14282149884968	0.0011454345203819	0.105241161408198	0.000398051640505547
EE	0.428	0.493	0.38	0.844	0.386	0.421	0.316	0.813	0.528496373844358	0.00664192681744762	0.518935171005313	0.0865389719816304
EE	0.752	0.91	0.784	0.913	0.765	0.914	0.772	0.933	0.892158117076592	0.68784292160209	0.627335909474988	0.281042749106202
EE	0.316	0.351	0.482	0.177	0.323	0.345	0.508	0.205	0.954894404895144	0.53105205005223	0.518149190948858	0.891518728904844
EE	0.908	0.683	0.437	0.599	0.883	0.66	0.423	0.623	0.288569835258853	0.244449288459904	0.390736768841604	0.124315881703182
EE	0.385	0.259	0.288	0.054	0.401	0.273	0.303	0.05	0.886396416513475	0.761718117782935	0.899868638187066	0.275576651065437
EE	0.051	0.05	0.038	0.027	0.059	0.065	0.048	0.035	0.499205856442253	0.543726996391043	0.342319399423785	0.516936570523444
EE	0.019	0.059	0.012	0.026	0.023	0.065	0.012	0.025	0.00980396877878481	2.75903545633236e-28	0.0466108997272391	4.82578935521907e-28
EE	0.9	0.999	0.943	0.854	0.907	0.999	0.944	0.87	0.784624237539437	0.939267171164494	0.932921516119482	0.956872524922958
EE	0.029	0.03	0.043	0.034	0.023	0.018	0.032	0.02	0.00860712020471252	5.37397820231589e-12	0.00527619968010083	9.87317773620131e-10
EE	0.579	0.458	0.824	0.471	0.575	0.473	0.818	0.49	0.408639480990751	0.610463569635238	0.567923504268672	0.358135457533013
EE	0.727	0.735	0.693	0.664	0.7	0.747	0.697	0.679	0.720703619995269	0.571012346239101	0.700808929005472	0.543378718112604
