geneType	pval_M_zinb	pval_M_kde	pval_S0_zinb	pval_S0_kde	pval_S1_zinb	pval_S1_kde	deseq2_pval	mast_pval_glm	mast_pval_glmer
EE	0.879	0.758	0.895	0.76	0.867	0.729	0.800147574424064	0.292412166275179	0.903745411237405
EE	0.227	0.41	0.248	0.42	0.25	0.363	0.0148288233347688	7.84023361426406e-28	0.248488231126883
EE	0.032	0.453	0.038	0.471	0.022	0.45	0.0129246826146767	8.05378914214652e-05	0.244627321774153
EE	0.159	0.158	0.131	0.115	0.157	0.144	0.277284714932543	2.17312446995822e-05	0.462310642385377
EE	0.941	0.812	0.932	0.794	0.936	0.787	0.924039096291679	0.185846088963492	0.770297496831039
EE	0.813	0.824	0.878	0.859	0.823	0.813	0.602488500253058	0.0796725567648766	0.661471279389363
EE	0.665	0.489	0.625	0.475	0.664	0.5	0.301953686888315	6.57682850375719e-06	0.706708700093769
EE	0.449	0.058	0.489	0.047	0.487	0.053	0.0236362364567471	1.16061521938707e-14	0.00367544493502384
EE	0.774	0.97	0.781	0.968	0.739	0.983	0.45051343503061	0.183475220557451	0.360618006297942
EE	0.886	0.791	0.881	0.772	0.886	0.78	0.393330858659671	0.176533966242341	0.49991612833786
EE	0.93	0.612	0.919	0.583	0.928	0.595	0.586827557035091	0.15381946553868	0.30567119112307
EE	0.845	0.748	0.763	0.649	0.82	0.686	0.812210704277539	0.314633017927738	0.920779709091156
EE	0.277	0.193	0.283	0.204	0.28	0.217	0.0233671872080594	2.23010818771323e-46	0.0434767577878296
EE	0.647	0.551	0.612	0.568	0.615	0.523	0.493820234234625	0.0292202648491389	0.594692541311813
EE	0.053	0.023	0.039	0.023	0.04	0.02	0.0127164919366096	2.00064793858398e-12	0.0101358388717827
EE	0.305	0.596	0.282	0.602	0.272	0.617	0.596155798612756	0.325885279053732	0.773748514813455
meanDE	0.184	0.411	0.166	0.385	0.147	0.341	0.187429910534077	0.052790911414407	0.0991776206744946
EE	0.831	0.664	0.792	0.599	0.808	0.55	0.470796709820753	0.000309004450207871	0.181002786602153
varDE	0.143	0.115	0.146	0.104	0.14	0.093	0.153464984639116	1.64535358603947e-20	0.284405758775478
EE	0.523	0.52	0.497	0.501	0.54	0.551	0.440078513714342	2.55438830826671e-06	NA
varDE	0.234	0.429	0.296	0.474	0.293	0.492	0.194312011341775	4.36371441286057e-08	0.0082905623295467
EE	0.192	0.693	0.254	0.721	0.23	0.629	0.49885270560539	0.307748707582792	0.834466530578623
